Dust-Radius\Longitude,-174,-168,-162,-156,-150,-144,-138,-132,-126,-120,-114,-108,-102,-96,-90,-84,-78,-72,-66,-60,-54,-48,-42,-36,-30,-24,-18,-12,-6,0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,150,156,162,168,174,180
1.05,2.168059096,1.358220033,1.705759402,1.781376882,1.393187713,1.654236502,1.324665687,1.403745435,1.522334852,1.342659034,1.325765492,1.303629802,1.110834836,1.474483269,1.565515865,1.000096441,1.134564701,0.838318093,0.961435723,0.974148753,1.138631468,1.579006537,2.122699376,2.06099156,1.978793621,2.247250369,1.739467065,1.123168443,1.147111392,1.453728831,1.579156853,1.600939668,1.568232941,1.858780448,1.781479259,2.133173895,1.986682067,1.317195226,2.396076629,1.723496832,2.66422493,2.465639154,2.575239828,2.481884587,2.207660565,1.609787925,1.574610816,1.485621484,1.443519216,1.493796223,1.551406866,1.260854445,1.394196775,2.028787965,1.703968761,1.369745836,1.638147644,1.784986723,1.922942672,1.770831775
1.1,1.904048498,1.226153606,1.503239831,1.686119011,1.411610913,1.696111957,1.349882744,1.373135269,1.65565886,1.422790372,1.257384404,1.389589537,1.150557571,1.401413302,1.440463541,1.02911999,1.179276885,0.81876008,0.937784647,0.964938941,1.064316253,1.505952394,2.112835383,1.924493688,1.786563091,2.051509133,1.56660622,0.990512014,1.054548846,1.373099002,1.456994347,1.510787639,1.536589538,1.848521725,1.621847102,1.951406855,1.881626059,1.262370949,2.296967356,1.690944541,2.634517764,2.559235233,2.582466723,2.62686321,1.953978795,1.451604488,1.109361254,1.188512678,1.545272777,1.3863711,1.668405936,1.363789156,1.23122651,1.645327922,1.368314632,1.261900571,1.918135364,1.79310417,1.854591577,1.639034484
1.15,1.60382502,1.180188384,1.489663968,1.638791876,1.535209485,1.613642356,1.305299602,1.312189755,1.640211601,1.458429824,1.188741217,1.37697266,1.084290239,1.324824599,1.361354677,0.897098256,1.163693142,0.833823362,0.84941286,1.018047972,0.956481327,1.319322693,1.972954542,1.612604821,1.531876071,1.673447037,1.477997826,0.920073299,0.910644039,1.357742429,1.403134108,1.586072788,1.584977936,1.783794933,1.706537309,1.725064875,1.724267367,1.180489488,2.102494382,1.586587554,2.526067052,2.600647503,2.455937914,2.686608004,1.859816064,1.363013427,0.978755942,1.126500148,1.577579631,1.353294003,1.609624854,1.496908698,1.17730765,1.560524987,1.304805486,1.162808359,1.893854655,1.810242639,1.704808912,1.474531168
1.2,1.411793784,1.028355766,1.422460025,1.423141726,1.48516721,1.492172056,1.28654363,1.212119132,1.442341279,1.34829474,1.096030978,1.353341907,1.023020145,1.215400344,1.198735344,0.904987122,1.146814745,0.785691566,0.714540735,0.912519081,0.838164581,1.094673917,1.631722045,1.363731094,1.329954347,1.351941811,1.2096237,0.85117109,0.814360049,1.174994935,1.21406932,1.475044587,1.57709646,1.515973232,1.496609915,1.526588751,1.53148705,1.176815266,1.770933114,1.489238851,2.170876266,2.333071408,2.441930029,2.367482323,1.876985168,1.338654339,0.972556928,1.229319857,1.513074054,1.296275126,1.54800989,1.347671272,1.150204002,1.625764904,1.38793211,1.09670524,1.806701128,1.644388342,1.486468481,1.281938237
1.25,1.168913827,0.950222175,1.254545409,1.266629511,1.27487665,1.255992831,1.145675529,1.111816534,1.297341331,1.216009368,0.998835822,1.164506939,0.877457349,1.098244422,1.079704015,0.883126239,1.073694768,0.688633096,0.651889617,0.833152415,0.827633796,1.064014377,1.5212088,1.206876829,1.139473324,1.247141789,1.167846412,0.791351339,0.769148838,1.074344066,1.143200411,1.416032439,1.550895104,1.260966187,1.416255907,1.256936959,1.39989359,1.187848892,1.581691749,1.41383797,1.871186256,2.080494296,1.96654819,1.692888923,1.378956432,1.299192766,0.604072572,0.853133066,1.101992587,1.13516432,1.084616753,1.155451944,1.001941632,0.938585632,0.813906898,0.905924029,1.232386435,1.221286935,1.122451736,1.073629646
1.3,1.105941631,0.859551231,1.051502469,1.234202218,1.157402615,1.189531907,1.032119231,0.961450343,1.050387464,1.043338234,0.851187347,0.975880033,0.759826711,0.867635553,0.971952183,0.773722275,0.881827553,0.658657299,0.578665219,0.68812002,0.678780725,0.753080708,1.256795751,1.106659636,1.132511236,1.116262562,0.949986267,0.78557836,0.586528061,0.816582461,0.845705514,1.077111017,1.227556364,0.997818779,1.088840384,1.09146603,1.211655473,1.033920472,1.300409901,1.2250558,1.471128467,1.770045471,1.626770584,1.504807417,1.206320731,1.260182832,0.585285675,0.751098725,1.036089643,1.072027677,0.997276656,1.069345709,0.836294955,0.842037877,0.808191334,0.910681413,1.055319909,1.094064763,0.989757635,1.040556876
1.35,0.840175514,0.769512172,0.821766512,0.930265459,0.949269248,0.893081945,0.865595667,0.921798304,0.901773217,0.88804881,0.79984856,0.820025432,0.703989587,0.640490298,0.781076188,0.626277608,0.55356598,0.51776155,0.470659099,0.572814644,0.576148048,0.627012688,0.875871889,0.757471086,0.718364337,0.721563597,0.692037217,0.665675179,0.467738064,0.633389928,0.706843071,0.95539562,1.090022059,0.902004326,0.950360287,0.861303424,0.95538603,0.91334504,1.129543816,1.105630857,1.216874619,1.504992101,1.486131042,1.387934179,1.143891365,1.064916147,0.454241559,0.636660532,0.863053498,0.870510085,0.787068024,0.870817245,0.673195489,0.656767503,0.5645185,0.700977174,0.844768732,0.825449656,0.744237428,0.744985937
1.4,0.545082052,0.555329332,0.55593224,0.614451716,0.680475635,0.605609238,0.610708219,0.698824393,0.624343799,0.614776453,0.551940427,0.562319847,0.477210421,0.45606675,0.530832773,0.423199393,0.388636012,0.465156902,0.38231972,0.475507281,0.477759728,0.527633931,0.629418026,0.690197073,0.584699154,0.630902693,0.524050173,0.504038388,0.434530844,0.453940758,0.466841854,0.695759785,0.805634066,0.633134536,0.620402775,0.573183598,0.660006539,0.681012809,0.791221068,0.614482199,0.719632023,0.914609537,0.859501629,0.856635484,0.725226584,0.710835121,0.44121902,0.417604345,0.525584513,0.600171463,0.51545972,0.566725259,0.481948369,0.424609446,0.385085674,0.47029587,0.563033651,0.564796841,0.518445033,0.516633249
1.45,0.372212166,0.345769973,0.36965719,0.414278112,0.469196522,0.458720076,0.457987543,0.489212825,0.440918626,0.463702333,0.439738218,0.457832601,0.395240173,0.344276311,0.41968339,0.337408806,0.282018533,0.327842834,0.262219914,0.276212783,0.275189228,0.308787578,0.336515973,0.422829331,0.401726846,0.33517857,0.288477969,0.290658646,0.228273029,0.26133364,0.323471841,0.474554391,0.564314649,0.455319261,0.456187929,0.444301807,0.499404325,0.588051942,0.602125517,0.520925043,0.613103405,0.689781143,0.648414876,0.607891455,0.5285148,0.543461723,0.352860597,0.336622017,0.416499697,0.495168433,0.425783911,0.390415,0.338502566,0.316603074,0.282192577,0.29654747,0.331261593,0.344128511,0.355593177,0.376970036
1.5,0.30974247,0.266615525,0.291393533,0.331595888,0.387792954,0.342631186,0.342522395,0.35839588,0.348807444,0.33817452,0.321998589,0.331464644,0.307390303,0.248923886,0.325845392,0.234088285,0.200667276,0.209378129,0.190072842,0.19653334,0.195843672,0.222326893,0.249227458,0.301933553,0.302094018,0.258566136,0.21928225,0.227847144,0.201917589,0.197769532,0.204368028,0.206645313,0.24223612,0.272698958,0.254255766,0.269919456,0.275622356,0.297015789,0.276717251,0.252510231,0.267377957,0.306745052,0.312867202,0.317408199,0.292021691,0.322730981,0.200330103,0.196569162,0.211457845,0.299429517,0.234562886,0.26617061,0.232491106,0.211482527,0.211862405,0.216624708,0.245804376,0.255600208,0.282571513,0.323563244
